Qt,Component,Aliexpress,Amazon,Open Builds
101,DIN 912 - M3x08 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
44,DIN 912 - M3x10 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
32,DIN 912 - M3x15 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
8,DIN 912 - M3x20 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
42,DIN 912 - M3x25 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
6,DIN 912 - M3x30 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
8,DIN 912 - M3x35 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
20,DIN 912 - M3x40 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
8,DIN 912 - M5x30 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
4,DIN 912 - M5x40 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
4,DIN 912 - M5x60 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
106,DIN 912 - M6x10 Screw,https://s.click.aliexpress.com/e/_APlRft,https://amzn.to/3BBkyWY,
6,DIN 7991 - M3X8 Screw,https://s.click.aliexpress.com/e/_AolhfH,https://amzn.to/35fmgBq,
6,DIN 7991 - M3X10 Screw,https://s.click.aliexpress.com/e/_AolhfH,https://amzn.to/35fmgBq,
4,DIN 7991 - M3X15 Screw,https://s.click.aliexpress.com/e/_AolhfH,https://amzn.to/35fmgBq,
6,DIN 7991 - M8X12 Screw,https://s.click.aliexpress.com/e/_AolhfH,https://amzn.to/35fmgBq,
22,Open Builds - M5x08 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
72,Open Builds - M5x10 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
42,Open Builds - M5x12 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
6,Open Builds - M5x15 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
1,Open Builds - M5x25 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
4,Open Builds - M5x40 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
12,Open Builds - M5x45 Low Profile Screw,https://s.click.aliexpress.com/e/_ASddiw,https://amzn.to/3s3gsDN,https://openbuildspartstore.com/low-profile-screws-m5-10-pack/?ref=mA1ciCf-vpubZS
38,Drop In T-Nut for 2020 - M3,https://s.click.aliexpress.com/e/_AUqB8n,https://amzn.to/3I6SbTb,
32,Drop In T-Nut for 2020 - M5,https://s.click.aliexpress.com/e/_AUqB8n,https://amzn.to/3I6SbTb,
42,Drop In T-Nut for 3030 - M3,https://s.click.aliexpress.com/e/_AUqB8n,https://amzn.to/3s6bDdd,
115,Drop In T-Nut for 3030 - M5,https://s.click.aliexpress.com/e/_AUqB8n,https://amzn.to/3s6bDdd,
88,Drop In T-Nut for 3030 - M6,https://s.click.aliexpress.com/e/_AUqB8n,https://amzn.to/3s6bDdd,
80,DIN 943 - M3 Nut,https://s.click.aliexpress.com/e/_ALBAGK,https://amzn.to/3s6bUNh,
4,DIN 943 - M5 Nut,https://s.click.aliexpress.com/e/_ALBAGK,https://amzn.to/3IaXv7W,https://openbuildspartstore.com/tee-nuts-m5-10-pack/?ref=mA1ciCf-vpubZS
4,DIN 984 - M5 Lock Nut,https://s.click.aliexpress.com/e/_9AphWj,https://amzn.to/3gZxgWf,
32,M3 Threaded Insert,https://s.click.aliexpress.com/e/_AVreOR,https://amzn.to/3p64XJZ,