Qt,Component,Color,My Etsy Store,This Site Store
1,Belt Tensioner Upper (L),Blue,,
1,Belt Tensioner Upper (R),Blue,,
1,Belt Tensioner Lower (L),Blue,,
1,Belt Tensioner Lower (R),Blue,,
2,Gantry Belt Tensioner Idler,Black,,
2,Knob,Black,,
2,Linear Bearing Box Top (A),Black,,
2,Linear Bearing Box Top (B),Black,,
1, X Support Bracket Lower (L),Blue,,
1,X Support Bracket Lower (R),Blue,,
1,X Support Bracket Upper (L),Blue,,
1,X Support Bracket Upper (R),Blue,,
1,X Cable Guide,Blue,,
1,Extruder Cable Guide Bracket,Blue,,
1,XYMount Suport Upper (L),Blue,,
1,XYMount Suport Upper (R),Blue,,
1,XYMount Suport Lower (L),Blue,,
1,XYMount Suport Lower (R),Blue,,
2,Cable Chain Start,Black,,
2,Cable Chain End,Black,,
47,Chain Link,Black,,
47,Chain Link Clip,Black,,